Feature,Importance (MDI),Std,q25,q75,Language,partID,syllable,lang_profile,pc1,pc2,Stdx2
vowel_periph,0.3191512422438495,0.09690980771959092,0.2519256187940854,0.38240410464393115,eng,rrl106,pen,mono,,,0.19381961543918183
spec_dur,0.29700992113549113,0.1232609419420965,0.20308821714717998,0.37968977652679864,cat,vrc053,pen,l1_eng,6.934260345949492,4.09473876402278,0.246521883884193
f0_creak,0.32331328727152375,0.13795390073309804,0.21943884420280602,0.4115898578654962,cat,vrc053,pen,l1_eng,6.934260345949492,4.09473876402278,0.2759078014661961
vowel_periph,0.3796767915929851,0.1511790181610112,0.26867626070458217,0.4850310636302921,cat,vrc053,pen,l1_eng,6.934260345949492,4.09473876402278,0.3023580363220224
spec_dur,0.31871965702121413,0.10523079787051563,0.24204783838369645,0.3903614232737153,eng,vrc053,pen,l1_eng,6.934260345949492,4.09473876402278,0.21046159574103127
f0_creak,0.3208265903351553,0.11443887511093223,0.23701044532759113,0.3986480944964599,eng,vrc053,pen,l1_eng,6.934260345949492,4.09473876402278,0.22887775022186446
vowel_periph,0.3604537526436305,0.1165395790889516,0.27875082547076874,0.43953841577936426,eng,vrc053,pen,l1_eng,6.934260345949492,4.09473876402278,0.2330791581779032
spec_dur,0.0,0.0,0.0,0.0,spa,vrc053,pen,l1_eng,6.934260345949492,4.09473876402278,0.0
f0_creak,0.0,0.0,0.0,0.0,spa,vrc053,pen,l1_eng,6.934260345949492,4.09473876402278,0.0
vowel_periph,0.0,0.0,0.0,0.0,spa,vrc053,pen,l1_eng,6.934260345949492,4.09473876402278,0.0
spec_dur,0.30390067020057926,0.33426669160199635,0.0,0.5735567610147991,cat,afs116,ult,l1_eng,6.165043938888648,2.9911835511439766,0.6685333832039927
f0_creak,0.45640271253177356,0.4224648650785139,0.0,1.0,cat,afs116,ult,l1_eng,6.165043938888648,2.9911835511439766,0.8449297301570278
vowel_periph,0.23969661726764718,0.28944678220800313,0.0,0.4308088540503093,cat,afs116,ult,l1_eng,6.165043938888648,2.9911835511439766,0.5788935644160063
spec_dur,0.36539569188099963,0.11826434939784429,0.28413331645144724,0.45356881717148134,eng,afs116,ult,l1_eng,6.165043938888648,2.9911835511439766,0.23652869879568858
f0_creak,0.31682747857939964,0.10767406223349904,0.2405966969086163,0.3856952845469926,eng,afs116,ult,l1_eng,6.165043938888648,2.9911835511439766,0.21534812446699808
vowel_periph,0.3177768295396008,0.11630360250649364,0.23758327169413168,0.3902743467325753,eng,afs116,ult,l1_eng,6.165043938888648,2.9911835511439766,0.2326072050129873
spec_dur,0.3008940081565101,0.16355556608447674,0.18421211446401226,0.4128468157572119,spa,afs116,ult,l1_eng,6.165043938888648,2.9911835511439766,0.3271111321689535
f0_creak,0.3431120768987625,0.18428831317279212,0.2038107724271987,0.4704252208167862,spa,afs116,ult,l1_eng,6.165043938888648,2.9911835511439766,0.36857662634558425
vowel_periph,0.35599391494472743,0.19020068134056656,0.21616966888575412,0.48187840537733617,spa,afs116,ult,l1_eng,6.165043938888648,2.9911835511439766,0.3804013626811331
spec_dur,0.34841105908313413,0.11524590419230997,0.2708719828048992,0.4261246234640037,cat,ala059,ult,l3_eng,-2.5142055322180346,-3.8533627737632985,0.23049180838461994
f0_creak,0.3076763099387014,0.11642010556319336,0.22390266641902312,0.3839310449175944,cat,ala059,ult,l3_eng,-2.5142055322180346,-3.8533627737632985,0.23284021112638673
vowel_periph,0.3439126309781643,0.12154207732530066,0.2671215772497161,0.4155462295625785,cat,ala059,ult,l3_eng,-2.5142055322180346,-3.8533627737632985,0.24308415465060132
spec_dur,0.3645832703668726,0.11665422649612611,0.29438002263070406,0.4384617264856801,eng,ala059,ult,l3_eng,-2.5142055322180346,-3.8533627737632985,0.23330845299225222
f0_creak,0.31950312683359117,0.11217943581495861,0.24339059270432722,0.39450211041929134,eng,ala059,ult,l3_eng,-2.5142055322180346,-3.8533627737632985,0.22435887162991722
vowel_periph,0.3159136027995362,0.11176556213777553,0.2335606960854877,0.397385871087298,eng,ala059,ult,l3_eng,-2.5142055322180346,-3.8533627737632985,0.22353112427555105
spec_dur,0.37327947246096427,0.1322603942538553,0.27335709742517433,0.47032153243026087,spa,ala059,ult,l3_eng,-2.5142055322180346,-3.8533627737632985,0.2645207885077106
f0_creak,0.3065843977031315,0.11541086768485928,0.21975469826687533,0.3860541196147681,spa,ala059,ult,l3_eng,-2.5142055322180346,-3.8533627737632985,0.23082173536971856
vowel_periph,0.3201361298359042,0.12812456331449512,0.22132208635846806,0.40399096941957024,spa,ala059,ult,l3_eng,-2.5142055322180346,-3.8533627737632985,0.25624912662899024
spec_dur,0.3109819610506939,0.12749242787615117,0.2171544216253209,0.401986038840716,cat,irb111,ult,l3_eng,-4.302326744326879,-0.0775427669154291,0.25498485575230234
f0_creak,0.32020849034604004,0.12606565215847462,0.23400786749896527,0.40148236138514243,cat,irb111,ult,l3_eng,-4.302326744326879,-0.0775427669154291,0.25213130431694925
vowel_periph,0.3688095486032662,0.15371402085186286,0.26416946873067415,0.4794062236548699,cat,irb111,ult,l3_eng,-4.302326744326879,-0.0775427669154291,0.30742804170372573
spec_dur,0.3470102616223413,0.12213194924764141,0.2509191182000405,0.4395117214587425,eng,irb111,ult,l3_eng,-4.302326744326879,-0.0775427669154291,0.24426389849528282
f0_creak,0.40246878589904095,0.13324400840531286,0.31559270578767157,0.49152477489595214,eng,irb111,ult,l3_eng,-4.302326744326879,-0.0775427669154291,0.2664880168106257
vowel_periph,0.2505209524786178,0.11305952193766124,0.16800484398157134,0.32324540945298286,eng,irb111,ult,l3_eng,-4.302326744326879,-0.0775427669154291,0.22611904387532247
spec_dur,0.3329334130580051,0.1326773948781272,0.23752509302312533,0.41919187887820386,spa,irb111,ult,l3_eng,-4.302326744326879,-0.0775427669154291,0.2653547897562544
f0_creak,0.39209721846327544,0.1383255987183892,0.29393398322316,0.48944136296118,spa,irb111,ult,l3_eng,-4.302326744326879,-0.0775427669154291,0.2766511974367784
vowel_periph,0.2749693684787195,0.1196018493794393,0.1873691434076622,0.3538648073137035,spa,irb111,ult,l3_eng,-4.302326744326879,-0.0775427669154291,0.2392036987588786
spec_dur,0.39830072854853804,0.1142973909234737,0.3135057208596217,0.47616113596967047,eng,acj047,ult,mono,,,0.2285947818469474
f0_creak,0.3031769699832343,0.10466871021034437,0.2231646621345036,0.3806752035520946,eng,acj047,ult,mono,,,0.20933742042068873
vowel_periph,0.2985223014682278,0.10996576022770128,0.21634106517056903,0.3711142470363802,eng,acj047,ult,mono,,,0.21993152045540257
spec_dur,0.339122248829306,0.13784327454627707,0.2445170702129208,0.41765356980854007,cat,acj297,ult,l1_eng,3.7642109833802633,-1.2401008910090194,0.27568654909255413
f0_creak,0.31955384988778,0.15037216941812176,0.20406838434795035,0.4217600522142252,cat,acj297,ult,l1_eng,3.7642109833802633,-1.2401008910090194,0.3007443388362435
vowel_periph,0.3413239012829139,0.15279316762501555,0.22169616741862594,0.4583004954725595,cat,acj297,ult,l1_eng,3.7642109833802633,-1.2401008910090194,0.3055863352500311
spec_dur,0.3538317944403012,0.1096495569870734,0.27607204538044694,0.4246137949285848,eng,acj297,ult,l1_eng,3.7642109833802633,-1.2401008910090194,0.2192991139741468
f0_creak,0.3292194304953442,0.11064724112887943,0.2505148798184669,0.40186619678158875,eng,acj297,ult,l1_eng,3.7642109833802633,-1.2401008910090194,0.22129448225775886
vowel_periph,0.3169487750643546,0.10964511737679984,0.23872588665311265,0.38871348943746514,eng,acj297,ult,l1_eng,3.7642109833802633,-1.2401008910090194,0.21929023475359968
